date,total_revenue_usd,total_marketing_spend_usd,total_new_clients,total_churned_clients,total_active_clients,total_new_leads,total_projects_completed,headcount,website_organic_sessions,avg_client_csat,inbound_mqls,gross_margin_pct
2023-12-01,235932.24,24946.97,21,11,176,176,59,66,20057,4.2,236,0.34
2024-01-01,220216.58,20916.84,12,11,177,90,48,66,25436,4.23,118,0.31
2024-02-01,221966.51,21026.68,14,12,179,119,48,66,24467,4.23,163,0.31
2024-03-01,221178.73,18358.93,10,12,180,95,54,67,24069,4.25,131,0.29
2024-04-01,218543.86,22289.07,15,14,181,112,55,70,26216,4.25,146,0.3
2024-05-01,235979.15,26903.02,11,11,181,84,48,70,22390,4.16,115,0.28
2024-06-01,216862.01,22256.94,13,14,180,97,47,70,22690,4.27,148,0.3
2024-07-01,222835.84,21256.45,13,12,181,97,39,70,25805,4.29,151,0.28
2024-08-01,236677.49,26312.51,11,10,182,91,52,72,26325,4.23,143,0.3
2024-09-01,234726.91,24924.46,14,12,184,119,83,72,26916,4.13,169,0.25
2024-10-01,262314.83,25693.13,15,12,187,109,96,72,28484,4.21,152,0.28
2024-11-01,257898.09,27009.93,19,14,192,168,67,73,26974,4.23,269,0.33
2024-12-01,262352.16,27729.14,14,10,196,103,61,76,27308,4.16,158,0.32
2025-01-01,258145.09,27041.07,17,11,202,128,48,76,30677,4.2,187,0.33
2025-02-01,241900.61,26159.34,11,12,201,92,64,76,27585,4.14,127,0.33
2025-03-01,245217.16,22411.83,16,13,204,159,54,76,31005,4.27,222,0.32
2025-04-01,250605.9,26964.71,12,14,202,83,64,78,29931,4.24,121,0.29
2025-05-01,251130.95,25746.08,18,13,207,173,71,78,26956,4.13,253,0.28
2025-06-01,246128.65,27075.51,13,13,207,103,65,78,28561,4.25,134,0.33
2025-07-01,231217.49,22367.25,17,14,210,133,51,78,30470,4.23,211,0.31
2025-08-01,264609.76,27780.13,12,15,207,88,65,78,32507,4.27,130,0.36
2025-09-01,265704.14,28008.87,19,13,213,184,56,78,32489,4.21,272,0.3
2025-10-01,294453.42,29057.66,15,13,215,123,84,78,35197,4.19,168,0.35
2025-11-01,303795.66,32070.3,23,14,224,203,85,82,31829,4.19,310,0.31
2025-12-01,290825.56,23238.45,16,11,229,127,65,82,34540,4.21,193,0.34
2026-01-01,302419.03,27718.29,20,14,235,141,107,82,37399,4.25,187,0.35
2026-02-01,278996.17,28830.39,22,16,241,159,68,83,33243,4.25,235,0.3
2026-03-01,285139.83,25705.21,15,12,244,114,91,83,32877,4.24,171,0.31
2026-04-01,268383.12,28583.41,13,16,241,98,65,83,34568,4.22,152,0.3
2026-05-01,284749.24,29824.44,16,17,240,130,55,83,32120,4.23,177,0.3
2026-06-01,277167.38,26878.13,14,14,240,114,68,84,35557,4.4,178,0.34
2026-07-01,272893.26,27867.01,16,18,238,130,66,84,35079,4.21,187,0.32
2026-08-01,298877.02,28808.27,14,16,236,108,62,86,34644,4.22,144,0.33
